               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 158,            0.021629,             0.11488,           0.0015536,             0.94314,             0.89171,             0.93588,             0.65591,             0.02286,            0.066666,           0.0050383,            0.004819,            0.004819,            0.004819
                 159,            0.020428,             0.11135,           0.0013317,             0.91979,             0.89193,             0.92606,             0.65431,            0.023065,            0.069977,             0.00632,            0.004786,            0.004786,            0.004786
                 160,            0.021291,             0.11532,           0.0014866,             0.96397,              0.8715,             0.92363,             0.65398,            0.023754,            0.076553,           0.0053873,            0.004753,            0.004753,            0.004753
                 161,            0.022639,             0.13176,           0.0018665,             0.89493,              0.8638,             0.90561,              0.6335,            0.022927,            0.069893,            0.010965,             0.00472,             0.00472,             0.00472
                 162,            0.022225,             0.12304,           0.0017463,             0.89812,             0.85707,             0.89906,             0.63731,            0.023084,            0.067184,            0.010998,            0.004687,            0.004687,            0.004687
                 163,             0.02151,             0.11088,           0.0016573,             0.91355,             0.85351,             0.91364,             0.64102,            0.022657,            0.068481,            0.012686,            0.004654,            0.004654,            0.004654
                 164,            0.020822,             0.11151,           0.0015457,             0.90412,             0.88075,             0.91272,             0.65664,            0.022731,            0.070236,           0.0074778,            0.004621,            0.004621,            0.004621
                 165,            0.020534,             0.09631,           0.0012779,             0.89894,             0.84079,             0.89178,             0.62878,             0.02199,             0.06707,            0.016003,            0.004588,            0.004588,            0.004588
                 166,            0.021095,             0.11496,           0.0013331,             0.91551,             0.86332,             0.91666,             0.64274,            0.022574,            0.066872,            0.010376,            0.004555,            0.004555,            0.004555
                 167,            0.021091,             0.11716,           0.0016241,             0.92556,             0.87305,             0.92948,             0.66617,             0.02226,            0.067276,           0.0083122,            0.004522,            0.004522,            0.004522
                 168,            0.020802,             0.11364,           0.0015053,              0.8821,             0.83105,             0.87873,              0.6227,            0.022359,            0.066643,            0.017591,            0.004489,            0.004489,            0.004489
                 169,             0.02067,             0.10635,           0.0014499,             0.88027,              0.8564,             0.90242,              0.6444,            0.022118,            0.065369,             0.01088,            0.004456,            0.004456,            0.004456
                 170,            0.021762,             0.13159,           0.0016223,             0.88991,             0.84154,             0.89661,             0.63322,            0.022988,            0.066933,            0.013603,            0.004423,            0.004423,            0.004423
                 171,            0.021108,             0.12541,           0.0014439,             0.88632,             0.87264,             0.90048,             0.62879,            0.023252,            0.067497,            0.011719,             0.00439,             0.00439,             0.00439
                 172,            0.020097,             0.10903,           0.0014706,             0.92904,             0.85574,             0.90914,             0.63655,            0.024658,            0.077774,           0.0082664,            0.004357,            0.004357,            0.004357
                 173,            0.021545,             0.12419,           0.0014569,             0.94823,              0.8754,             0.93487,             0.66988,            0.022757,            0.069717,           0.0055437,            0.004324,            0.004324,            0.004324
                 174,            0.020351,             0.10685,           0.0014117,             0.93061,             0.87325,             0.93166,             0.65274,            0.023038,            0.073051,           0.0059519,            0.004291,            0.004291,            0.004291
                 175,            0.020542,             0.12474,            0.001445,             0.91136,             0.87929,             0.92312,             0.65077,            0.023523,            0.072723,           0.0073252,            0.004258,            0.004258,            0.004258
                 176,            0.021318,             0.12391,           0.0015503,              0.8957,             0.86711,             0.91635,             0.64908,             0.02278,            0.069252,            0.010366,            0.004225,            0.004225,            0.004225
                 177,            0.021585,             0.13071,           0.0016274,              0.9375,             0.88981,             0.93302,             0.66391,            0.022769,            0.071938,           0.0055456,            0.004192,            0.004192,            0.004192
                 178,            0.020764,             0.11474,           0.0012934,             0.93945,             0.88714,             0.93219,             0.65747,            0.023187,            0.074524,           0.0049934,            0.004159,            0.004159,            0.004159
                 179,            0.021356,             0.12146,           0.0014395,             0.93936,             0.88504,             0.93439,             0.65503,            0.023309,            0.069748,           0.0049515,            0.004126,            0.004126,            0.004126
                 180,            0.020415,             0.10079,           0.0011863,              0.9444,              0.8919,              0.9398,             0.66631,            0.022236,            0.066956,           0.0050545,            0.004093,            0.004093,            0.004093
                 181,            0.020917,             0.12187,           0.0015818,             0.91972,             0.88582,             0.92829,             0.65936,            0.022615,            0.067261,           0.0065031,             0.00406,             0.00406,             0.00406
                 182,            0.020837,             0.12244,           0.0015698,             0.89776,             0.86823,             0.91542,             0.65314,            0.022547,            0.068756,           0.0087996,            0.004027,            0.004027,            0.004027
                 183,            0.020363,             0.10949,           0.0013572,              0.9064,             0.88187,             0.92159,             0.65668,            0.022455,            0.067535,           0.0078735,            0.003994,            0.003994,            0.003994
                 184,            0.019622,              0.1036,           0.0012884,             0.92679,             0.86838,             0.93081,             0.65546,            0.022284,            0.068192,           0.0082741,            0.003961,            0.003961,            0.003961
                 185,            0.020629,             0.11808,           0.0014176,             0.93238,             0.89026,             0.93682,             0.65908,            0.022292,            0.069168,           0.0059643,            0.003928,            0.003928,            0.003928
                 186,            0.019758,            0.095772,           0.0012158,             0.88737,             0.86692,             0.90369,             0.62858,            0.023416,            0.071838,            0.011408,            0.003895,            0.003895,            0.003895
