               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032619,             0.14749,           0.0039844,             0.93889,             0.87948,             0.91774,             0.59314,            0.027199,            0.073021,            0.005621,            0.008845,            0.008845,            0.008845
                  37,            0.030812,              0.1327,           0.0029385,             0.93832,             0.88299,             0.92452,             0.59692,            0.026431,            0.069977,           0.0062838,            0.008812,            0.008812,            0.008812
                  38,            0.032127,             0.14836,           0.0032729,             0.93581,             0.89509,             0.92861,             0.58559,            0.028462,            0.071083,           0.0070953,            0.008779,            0.008779,            0.008779
                  39,            0.030389,             0.12644,           0.0030209,             0.91084,             0.84717,             0.90951,             0.61199,              0.0262,            0.073418,           0.0091801,            0.008746,            0.008746,            0.008746
                  40,            0.031737,             0.15027,           0.0032435,             0.92458,             0.86794,             0.92438,             0.62335,            0.026355,            0.070625,           0.0084782,            0.008713,            0.008713,            0.008713
                  41,            0.032254,             0.14556,           0.0032935,             0.84364,             0.80585,             0.86823,             0.59017,            0.026738,            0.073952,            0.014477,             0.00868,             0.00868,             0.00868
                  42,            0.030728,             0.12614,            0.003189,             0.89737,             0.84182,             0.90538,             0.62738,            0.025789,            0.067085,           0.0097923,            0.008647,            0.008647,            0.008647
                  43,            0.032638,             0.15584,           0.0035207,             0.91152,             0.86047,             0.91538,             0.60703,            0.028007,             0.07193,           0.0086689,            0.008614,            0.008614,            0.008614
                  44,            0.029796,             0.14668,           0.0034632,             0.85502,             0.80552,             0.86389,             0.57137,            0.029163,             0.06881,            0.015835,            0.008581,            0.008581,            0.008581
                  45,            0.030751,              0.1281,           0.0028989,             0.88772,             0.85549,             0.90831,             0.59401,            0.026945,            0.067299,            0.013203,            0.008548,            0.008548,            0.008548
                  46,            0.029853,             0.13139,           0.0028514,             0.89732,             0.84566,             0.91551,              0.6273,             0.02461,            0.067001,            0.011415,            0.008515,            0.008515,            0.008515
                  47,            0.029342,             0.12816,           0.0026143,             0.92662,             0.85345,             0.91142,             0.61871,            0.025881,            0.070206,           0.0095882,            0.008482,            0.008482,            0.008482
                  48,            0.030281,             0.14756,           0.0029744,             0.90321,             0.88206,             0.91418,             0.59639,            0.027139,             0.07267,           0.0066652,            0.008449,            0.008449,            0.008449
                  49,            0.029669,             0.13391,             0.00267,             0.94037,             0.87091,             0.90696,             0.60568,            0.027557,            0.073959,           0.0068922,            0.008416,            0.008416,            0.008416
                  50,            0.030858,             0.15179,           0.0031985,             0.92782,             0.84814,             0.92076,              0.6194,            0.027644,            0.072418,           0.0086136,            0.008383,            0.008383,            0.008383
                  51,            0.029823,              0.1448,           0.0029053,              0.9364,              0.8612,             0.91078,             0.60412,            0.026794,            0.079704,            0.009409,             0.00835,             0.00835,             0.00835
